TIC,asassn_queried_ok,asassn_match,asassn_name,asassn_type,asassn_period,asassn_error
76139867,True,False,,,,
76879277,True,False,,,,
806803694,True,False,,,,
81551538,True,False,,,,
82132592,True,False,,,,
87175731,True,False,,,,
91599324,True,False,,,,
93197394,True,False,,,,
93198521,True,False,,,,
97032752,True,False,,,,
367854604,True,False,,,,
378067576,True,False,,,,
46387913,True,False,,,,
464366239,True,False,,,,
467851846,True,False,,,,
100424264,True,False,,,,
111122174,True,False,,,,
111381330,True,False,,,,
120017739,True,False,,,,
121490919,True,False,,,,
125941416,True,False,,,,
127263318,True,False,,,,
135330868,True,False,,,,
154831865,True,False,,,,
222705458,True,False,,,,
229494598,True,False,,,,
229494833,True,False,,,,
233459038,True,False,,,,
233666475,True,False,,,,
237507898,True,False,,,,
247637164,True,False,,,,
251898081,True,False,,,,
257301155,True,False,,,,
261590581,True,False,,,,
273148514,True,False,,,,
273150032,True,False,,,,
281310348,True,False,,,,
282344989,True,False,,,,
29454613,True,False,,,,
294658624,True,False,,,,
295348592,True,False,,,,
297350195,True,False,,,,
298231916,True,False,,,,
299139880,True,False,,,,
308628103,True,False,,,,
309223749,True,False,,,,
309656476,True,False,,,,
311051394,True,False,,,,
31165161,True,False,,,,
313365243,True,False,,,,
313371518,True,False,,,,
315681366,True,False,,,,
318887646,True,False,,,,
323764927,True,False,,,,
326257760,True,True,J195528.25+664427.5,L,--,
329814247,True,False,,,,
330871525,True,False,,,,
333569564,True,False,,,,
333569585,True,False,,,,
333732585,True,False,,,,
339901386,True,False,,,,
344493385,True,False,,,,
346535587,True,False,,,,
348345578,True,False,,,,
349701853,True,False,,,,
360088761,True,False,,,,
365996460,True,False,,,,
371603115,True,False,,,,
376802340,True,True,J101400.28-635207.6,SR,24.349,
380943251,True,False,,,,
383101733,True,False,,,,
387142211,True,True,J065050.63+161417.5,ROT:,--,
387142213,True,False,,,,
394111941,True,False,,,,
397004906,True,False,,,,
399552998,True,False,,,,
399573126,True,True,J213624.52+361022.5,ROT,3.3839,
399770041,True,False,,,,
402630334,True,False,,,,
402641241,True,False,,,,
410907337,True,False,,,,
411536289,True,False,,,,
414257425,True,False,,,,
430253781,True,False,,,,
437162640,True,False,,,,
444465823,True,False,,,,
44533527,True,False,,,,
451041955,True,False,,,,
452557937,True,False,,,,
453947125,True,False,,,,
457850280,True,False,,,,
465334170,True,False,,,,
465390277,True,False,,,,
467214801,True,False,,,,
54282826,True,False,,,,
57131520,True,True,J181647.70-385902.2,RRAB,0.51671,
66716482,True,False,,,,
73190461,True,False,,,,
79414156,True,False,,,,
80644534,True,False,,,,
80886802,True,False,,,,
810800604,True,False,,,,
86966148,True,False,,,,
87175640,True,False,,,,
87926466,True,False,,,,
90130748,True,False,,,,
93196458,True,False,,,,
93622174,True,False,,,,
139850283,True,False,,,,
231200465,True,True,J064350.15+090946.4,ROT,3.889,
349702481,True,False,,,,
42256323,True,False,,,,
